County,Stream,Location,Type,Fishing Season,Possession Season,"Brook Trout
Minimum Size
Limit (inches)","Brown Trout
Minimum Size
Limit (inches)","Atlantic, Chinook,
Coho & Pink Salmon,
Lake Trout, Rainbow
Trout(Steelhead)
& Splake
Minimum Size Limit
(inches)","All Trout and
Salmon Daily
Possession
Limit "
Alcona,Au Sable River Mainstream,from Evans Rd. (McKinley Bridge) downstream to 4001 Bridge.,2,Last Sat. in April - Sep. 30,Last Sat. in April - Sep. 30,"10""","12""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alcona,Au Sable River Mainstream,from Alcona Dam to S. Branch River,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alcona,Black River,from confuence with N. Branch Black River downstream to Lake Huron.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alcona,Pine River,from F-41 downstream to Lake Huron.,3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Anna River,"from Railroad Bridge (T46N, R19W, S14) downstream to L. Superior.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Au Train River,from Powerhouse below M-94 downstream to L. Superior.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Hurricane River,"from Truck Trail (CO Rd 724, T49N, R15W, S25) downstream to L. Superior.",3,Open All Year,Open All Year,"15""","15""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Laughing Whitefsh River,"from Forks (T47N, R22W, S22) downstream to L. Superior.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Miner’s River,from Miner’s Falls downstream to L. Superior.,4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
Alger,Rock River,"from Railroad Bridge (T47N, R21W, S22) downstream to L. Superior. SC - Closed to Fishing - April 1 – Jun. 30 between dam and its downstream-most foot bridge located downstream from M-28 in T47N, R21W, S15.",4,Open All Year,"Last Sat. in April - Sep. 30 for Brook Trout, Brown Trout, and Atlantic Salmon Open all year for all other Trout and Salmon","7""","10""","10""","5 fish, but no more than 3 trout 15"" or greater"
